"Name","State","Notes","User","Tags","Created","Runtime","Sweep","conv_arch","dropout","lr","method","metric.goal","metric.name","parameters.conv_archs","parameters.dropout.distribution","parameters.dropout.max","parameters.dropout.min","parameters.lr.distribution","parameters.lr.max","parameters.lr.min","parameters.window_sizes","window_size","global_pool","parameters.global_pools","batch_size","conv_channels","dilation_rates","epochs","kernel_sizes","num_workers","use_wandb","best_val_acc","epoch","loss","train_acc","val_acc"
"playful-sweep-6","finished","-","","","2026-05-15T03:41:12.000Z","453","gc38pici","64,128,256_7,7,7_1,4,16","0.4840117030684593","0.0001404661562855538","","","","","","","","","","","","5000","true","","","","","","","","","0.6544899874843555","10","0.9392426517295992","0.6018331990330379","0.6544899874843555"
"charmed-sweep-2","finished","-","","","2026-05-15T03:22:18.000Z","198","gc38pici","32,64_7,7_1,4","0.3541272596993279","0.0027147753357238875","","","","","","","","","","","","2500","false","","","","","","","","","0.6493272841051314","10","1.148963968439381","0.4611368520010744","0.6493272841051314"
"clear-sweep-8","finished","-","","","2026-05-15T02:18:05.000Z","188","8b34z4x1","32,64_7,7_1,4","0.11298670007179572","0.00017046566344007226","","","","","","","","","","","","1000","false","","","","","","","","","0.6412546933667084","10","0.9176646080607532","0.6269439967767929","0.6381414267834794"
"crimson-sweep-11","finished","-","","","2026-05-15T02:27:27.000Z","202","8b34z4x1","32,64,128_7,5,3","0.40573412653336494","0.0010710642766481708","","","","","","","","","","","","2000","true","","","","","","","","","0.6405193992490613","10","0.8851972055537644","0.615081923180231","0.6405193992490613"
"magic-sweep-3","finished","-","","","2026-05-15T13:22:53.000Z","195","9s7owsim","32,64_7,5","0.43498047575176313","0.0012034119038500865","","","","","","","","","","","","2500","false","","","","","","","","","0.6346996245306633","10","1.1977719767196762","0.46311778135911896","0.6346996245306633"
"winter-sweep-11","finished","-","","","2026-05-15T04:11:10.000Z","341","gc38pici","64,128_7,7_1,4","0.4301795091221324","0.0005053277933391681","","","","","","","","","","","","5000","false","","","","","","","","","0.6290675844806007","10","1.1889196981385994","0.431926537738383","0.6290675844806007"
"fluent-sweep-2","finished","-","","","2026-05-15T01:47:37.000Z","203","8b34z4x1","32,64,128_7,5,3","0.1137302265213041","0.004250302876302715","","","","","","","","","","","","1000","false","","","","","","","","","0.6257978723404255","10","1.0116676003581375","0.5680902497985496","0.6257978723404255"
"comic-sweep-1","finished","-","","","2026-05-15T18:32:02.000Z","234","zzj54cl5","32,64,128_7,7,7_4,16,64","0.2974054089356808","0.002892460821039577","","","","","","","","","","","","20000","false","","","","","","","","","0.6216755319148937","10","1.136216520718788","0.478453196347032","0.6170212765957447"
"fluent-sweep-1","finished","-","","","2026-05-15T03:19:02.000Z","193","gc38pici","32,64_7,5","0.22078921259929216","0.00449887722454982","","","","","","","","","","","","2500","false","","","","","","","","","0.6114674593241552","10","1.1728733734453105","0.4822471796937953","0.6114674593241552"
"fiery-sweep-9","finished","-","","","2026-05-15T04:00:32.000Z","321","gc38pici","64,128_7,5","0.28726265921895955","0.0006308153122458826","","","","","","","","","","","","5000","false","","","","","","","","","0.6106852315394243","10","1.2335541580045477","0.45064464141821114","0.610450563204005"
"different-sweep-9","finished","-","","","2026-05-14T22:49:17.000Z","364","7h9bgx3w","64,128_7,5","0.264624729730933","0.00010778161782086676","","","","","","","","","","","","500","","","","","","","","","","0.5995541301627034","10","1.028138412931034","0.5732843137254902","0.5995541301627034"
